Date,Nifty,PE,Gold
2009-12-03,5131.700195,20.37,1801.0
2009-12-04,5108.899902,20.34,1780.0100100000002
2009-12-07,5066.700195,20.15,1710.0
2009-12-08,5147.950195,20.43,1736.5
2009-12-09,5112.0,20.36,1700.0
2009-12-10,5134.649902,20.45,1687.0
2009-12-11,5117.299805,20.38,1699.0
2009-12-14,5105.700195,20.32,1681.5
2009-12-15,5033.049805,20.04,1675.0
2009-12-16,5042.049805,20.06,1690.0
2009-12-17,5041.75,20.12,1693.780029
2009-12-18,4987.700195,19.93,1660.0
2009-12-21,4952.600098,19.83,1669.5
2009-12-22,4985.850098,20.0,1646.0
2010-01-04,5232.200195,20.96,1650.0
2010-01-05,5277.899902,21.21,1668.0
2010-01-06,5281.799805,21.24,1655.0
2010-01-07,5263.100098,21.19,1659.0
2010-01-08,5244.75,21.16,1647.050049
2010-01-11,5249.399902,21.29,1675.0
2010-01-12,5210.399902,21.09,1681.9000239999998
2010-01-13,5233.950195,21.21,1656.0
2010-01-14,5259.899902,21.38,1659.949951
2010-01-15,5252.200195,21.47,1660.0
2010-01-18,5274.850098,21.62,1660.0
2010-01-19,5225.649902,21.47,1660.0
2010-01-20,5221.700195,20.99,1660.0
2010-01-21,5094.149902,20.47,1660.0
2010-01-22,5036.0,20.32,1660.0
2010-01-25,5007.899902,19.65,1660.0
2010-01-27,4853.100098,18.95,1660.0
2010-01-28,4867.25,19.01,1660.0
2010-01-29,4882.049805,18.67,1660.0
2010-02-01,4899.700195,18.85,1660.0
2010-02-02,4830.100098,18.59,1660.0
2010-02-03,4931.850098,18.93,1660.0
2010-02-04,4845.350098,18.6,1660.0
2010-02-05,4718.649902,18.17,1576.72998
2010-02-08,4760.399902,18.37,1603.040039
2010-02-09,4792.649902,18.54,1598.170044
2010-02-10,4757.200195,18.43,1603.359985
2010-02-11,4826.850098,18.62,1605.0
2010-02-15,4801.950195,18.5,1621.27002
2010-02-16,4855.75,18.67,1642.800049
2010-02-17,4914.0,18.84,1645.930054
2010-02-18,4887.75,18.73,1629.52002
2010-02-19,4844.899902,18.53,1636.25
2010-02-22,4856.399902,18.49,1648.199951
2010-02-23,4870.049805,18.47,1644.569946
2010-02-24,4858.600098,18.42,1621.099976
2010-02-25,4859.75,18.39,1619.380005
2010-02-26,4922.299805,18.54,1644.829956
2010-03-02,5017.0,18.83,1651.599976
2010-03-03,5088.100098,19.09,1671.599976
2010-03-04,5080.25,19.15,1667.52002
2010-03-05,5088.700195,19.18,1668.650024
2010-03-08,5124.0,19.26,1664.130005
2010-03-09,5101.5,19.11,1643.52002
2010-03-10,5116.25,19.11,1645.099976
2010-03-11,5133.399902,19.11,1627.349976
2010-03-12,5137.0,19.11,1636.459961
2010-03-15,5128.899902,19.03,1621.969971
2010-03-16,5198.100098,19.21,1635.780029
2010-03-17,5231.899902,19.36,1645.790039
2010-03-18,5245.899902,19.37,1645.050049
2010-03-19,5262.799805,19.45,1642.819946
2010-03-22,5205.200195,19.25,1620.73999
2010-03-23,5225.299805,19.29,1618.609985
2010-03-25,5260.399902,19.32,1605.290039
2010-03-26,5282.0,19.41,1602.900024
2010-03-29,5302.850098,19.44,1608.23999
2010-03-30,5262.450195,19.41,1610.0
2010-03-31,5249.100098,19.41,1606.880005
2010-04-01,5290.5,19.56,1610.97998
2010-04-05,5368.399902,19.83,1617.140015
2010-04-06,5366.0,19.83,1611.459961
2010-04-07,5374.649902,19.9,1621.780029
2010-04-08,5304.450195,19.71,1639.910034
2010-04-09,5361.75,19.84,1641.910034
2010-04-12,5339.700195,19.77,1659.619995
